종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
1460,BYC,KOSPI,,432000,-6500,-1.48,433000,440000,427500,974,423950000,2.69834E+11,624615
1465,BYC우,KOSPI,,171000,-3000,-1.72,171000,171000,169500,402,68583500,36830835000,215385
1470,삼부토건,KOSPI,,1810,-85,-4.49,1905,1905,1805,2072486,3798616595,2.48977E+11,137556269
1500,현대차증권,KOSPI,,12500,-50,-0.4,12500,12600,12400,44610,556932200,3.96407E+11,31712562
1510,SK증권,KOSPI,,970,-6,-0.61,968,983,967,1823906,1772002790,4.58412E+11,472590171
1515,SK증권우,KOSPI,,4080,-155,-3.66,4200,4200,4080,10346,42414780,15963057120,3912514
1520,동양,KOSPI,,1865,90,5.07,1775,1930,1745,14789737,27809775600,4.45146E+11,238684063
1525,동양우,KOSPI,,7800,100,1.3,7800,7880,7750,5070,39768000,4818301800,617731
1527,동양2우B,KOSPI,,14450,150,1.05,14450,14500,14400,2250,32563500,4458822050,308569
1529,동양3우B,KOSPI,,36450,900,2.53,35550,37500,35550,2022,74420050,3270366900,89722
1530,DI동일,KOSPI,,269500,-2500,-0.92,270500,275000,265000,18736,5029351500,6.76622E+11,2510655
1540,안국약품,KOSDAQ,우량기업부,9600,-310,-3.13,9780,9810,9600,58861,570330110,1.25207E+11,13042420
1550,조비,KOSPI,,23550,-100,-0.42,23100,24000,23000,122329,2872269650,1.22277E+11,5192239
1560,제일연마,KOSPI,,8900,-150,-1.66,8910,9000,8890,6870,61210060,89000000000,10000000
1570,금양,KOSPI,,4960,-50,-1,5000,5040,4955,238963,1190358095,2.42078E+11,48806004
1620,케이비아이동국실업,KOSPI,,874,-18,-2.02,880,900,870,504446,444923445,76228511898,87217977
1630,종근당홀딩스,KOSPI,,79700,-100,-0.13,79500,79900,79100,5112,405771300,3.99286E+11,5009861
1680,대상,KOSPI,,23500,-200,-0.84,23550,23900,23450,102194,2410652150,8.14229E+11,34648025
1685,대상우,KOSPI,,17400,-200,-1.14,17500,17800,17200,3429,59728250,23841880200,1370223
1720,신영증권,KOSPI,,60800,100,0.16,60500,62400,60400,2868,174715700,5.70683E+11,9386237
1725,신영증권우,KOSPI,,61700,-400,-0.64,61800,61900,61500,163,10056400,4.35217E+11,7053763
1740,SK네트웍스,KOSPI,,5180,40,0.78,5110,5180,5080,642606,3301383300,1.28561E+12,248187647
1745,SK네트웍스우,KOSPI,,82900,-700,-0.84,83700,83700,82900,99,8226700,9421419200,113648
1750,한양증권,KOSPI,,15950,0,0,15850,16000,15700,35048,555214350,2.0302E+11,12728534
1755,한양증권우,KOSPI,,20300,50,0.25,20300,20400,20250,242,4913850,10657500000,525000
1770,SHD,KOSPI,,27850,-550,-1.94,27700,28150,27150,8994,248133200,33834352300,1214878
1780,알루코,KOSPI,,3685,-140,-3.66,3785,3830,3670,723223,2686421025,3.30881E+11,89791232
1790,대한제당,KOSPI,,3325,25,0.76,3240,3350,3240,448687,1481645345,2.98241E+11,89696580
1795,대한제당우,KOSPI,,3330,55,1.68,3275,3360,3225,35814,117024155,21587590800,6482760
1800,오리온홀딩스,KOSPI,,15850,0,0,15700,15850,15650,85900,1355187700,9.9293E+11,62645422
1810,무림SP,KOSDAQ,우량기업부,3020,-60,-1.95,3010,3100,3010,96808,295635270,66855250000,22137500
1820,삼화콘덴서,KOSPI,,54500,700,1.3,53200,54500,53000,37489,2022252700,5.66528E+11,10395000
1840,이화공영,KOSDAQ,중견기업부,6300,-260,-3.96,6540,6580,6240,137681,874972700,1.24776E+11,19805760
1880,DL건설,KOSPI,,27800,-500,-1.77,28250,28450,27600,20641,575350900,6.13081E+11,22053284
1940,KISCO홀딩스,KOSPI,,16600,350,2.15,15950,16700,15950,18107,294981850,3.06708E+11,18476380
2020,코오롱,KOSPI,,31250,-350,-1.11,31150,32250,30600,63850,1999378500,3.94576E+11,12626426
2025,코오롱우,KOSPI,,19850,0,0,19800,20000,19550,3718,73306200,21366341500,1076390
2030,아세아,KOSPI,,112500,-1000,-0.88,113500,114500,112000,6579,743222500,2.4649E+11,2191024
2070,비비안,KOSPI,,2940,15,0.51,2920,2960,2890,118174,344599370,87594330600,29793990
2100,경농,KOSPI,,12300,-150,-1.2,12350,12600,12200,73234,903139050,2.40128E+11,19522575
2140,고려산업,KOSPI,,3090,-50,-1.59,3060,3155,3060,96514,299318030,77062823250,24939425
2150,도화엔지니어링,KOSPI,,7560,-110,-1.43,7620,7670,7510,38798,294524260,2.54923E+11,33720000
2170,삼양통상,KOSPI,,61500,-200,-0.32,62000,62000,61300,2810,172787200,1.845E+11,3000000
2200,한국수출포장,KOSPI,,24700,-250,-1,24600,24950,24600,9235,228411150,98800000000,4000000
2210,동성제약,KOSPI,,8470,-160,-1.85,8630,8650,8400,74820,636724470,2.21075E+11,26100970
2220,한일철강,KOSPI,,2900,-45,-1.53,2900,2935,2820,61835,178232940,77422634000,26697460
2230,피에스텍,KOSDAQ,중견기업부,4795,-150,-3.03,4855,4885,4725,39847,191210620,94314020185,19669243
2240,고려제강,KOSPI,,24450,-50,-0.2,24300,24750,23700,41288,996361700,5.6235E+11,23000000
2270,롯데푸드,KOSPI,,367000,0,0,367000,374500,363000,443,162694500,4.43723E+11,1209055
2290,삼일기업공사,KOSDAQ,중견기업부,4000,-135,-3.26,4085,4220,4000,182427,743559140,49600000000,12400000
2310,아세아제지,KOSPI,,43150,-450,-1.03,43300,43700,42550,31552,1363773750,3.86473E+11,8956502
2320,한진,KOSPI,,31650,-150,-0.47,31550,32100,31300,26116,825347000,4.73092E+11,14947628
2350,넥센타이어,KOSPI,,7240,-120,-1.63,7350,7380,7180,205159,1489803870,7.07115E+11,97667877
2355,넥센타이어1우B,KOSPI,,3300,-40,-1.2,3350,3350,3300,5122,16968895,21450000000,6500000
2360,SH에너지화학,KOSPI,,969,-19,-1.92,968,1000,955,1660136,1614119654,1.07689E+11,111133730
2380,KCC,KOSPI,,308500,-2000,-0.64,306000,318000,301500,64493,19949767000,2.74148E+12,8886471
2390,한독,KOSPI,,22950,0,0,22700,23100,22700,24425,560679950,3.15873E+11,13763533
2410,범양건영,KOSPI,,7960,-230,-2.81,7950,8260,7950,781681,6324929900,1.97663E+11,24831982
2420,세기상사,KOSPI,,6160,0,0,0,0,0,0,0,25107667200,4075920
2450,삼익악기,KOSPI,,1765,5,0.28,1750,1770,1735,116892,205003355,1.59787E+11,90530915
2460,화성산업,KOSPI,,12500,-50,-0.4,12400,12650,12400,51046,636963650,1.55635E+11,12450800
2600,조흥,KOSPI,,204500,-7500,-3.54,211500,212000,204000,276,56926000,1.227E+11,600000
2620,제일파마홀딩스,KOSPI,,16900,-50,-0.29,16950,16950,16600,4775,80075300,2.6995E+11,15973355
2630,오리엔트바이오,KOSPI,,1240,20,1.64,1220,1240,1200,410628,507777390,1.47043E+11,118583005
2680,한탑,KOSDAQ,투자주의환기종목(소속부없음),1350,5,0.37,1280,1390,1280,175270,237452795,38164483800,28269988
2690,동일제강,KOSPI,,3030,-90,-2.88,2995,3085,2955,72422,218858335,45450000000,15000000
2700,신일전자,KOSPI,,1950,25,1.3,1920,1960,1915,1069441,2074804895,1.38543E+11,71047521
2710,TCC스틸,KOSPI,,7840,-50,-0.63,7880,8110,7670,498531,3962481580,1.8424E+11,23500000
2720,국제약품,KOSPI,,5560,30,0.54,5510,5600,5380,134694,743232830,1.07175E+11,19276090
2760,보락,KOSPI,,2010,0,0,1995,2060,1995,250387,507272755,1.20399E+11,59900000
2780,진흥기업,KOSPI,,2300,110,5.02,2175,2355,2170,4966016,11434712585,3.34585E+11,145471745
2785,진흥기업우B,KOSPI,,6040,180,3.07,5870,6050,5870,1367,8102800,5177596720,857218
2787,진흥기업2우B,KOSPI,,15400,150,0.98,15350,15400,15100,2320,35302900,4540043200,294808
2790,아모레G,KOSPI,,47700,-700,-1.45,47700,48300,47600,144469,6905820850,3.93326E+12,82458180
