종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2019
253450,스튜디오드래곤 ,77900,-1500,-1.89,1278,60.95,14305,5.45,0,0,,
253590,네오셈 ,1285,15,1.18,12,107.08,1894,0.68,0,0,,
253840,수젠텍 ,6300,50,0.8,,,1318,4.78,0,0,,
254120,IBKS제5호스팩 ,2120,45,2.17,,,,,0,0,,
255220,SG ,2455,-15,-0.61,299,8.21,1653,1.49,60,2.44,,
255440,야스 ,21300,-150,-0.7,2776,7.67,10748,1.98,500,2.35,,
256150,한독크린텍 ,16900,-50,-0.29,1511,11.18,4833,3.5,0,0,,
256630,포인트엔지니어링 ,2090,5,0.24,,,,,0,0,,
256840,엔에이치스팩11호 ,2740,40,1.48,,,,,0,0,,
256940,케이피에스 ,13900,-600,-4.14,1594,8.72,7224,1.92,100,0.72,,
257370,명성티엔에스 ,14000,300,2.19,323,43.34,5925,2.36,0,0,,
258610,이더블유케이 ,8400,280,3.45,393,21.37,3278,2.56,0,0,,
258790,케이비제11호스팩 ,2070,10,0.49,,,,,0,0,,
258830,세종메디칼 ,8460,-230,-2.65,606,13.96,6353,1.33,0,0,,
259630,엠플러스 ,16950,-150,-0.88,309,54.85,7646,2.22,0,0,,
260660,알리코제약 ,15600,100,0.65,132,118.18,6413,2.43,0,0,,
260930,씨티케이코스메틱스 ,13850,-200,-1.42,796,17.4,16645,0.83,200,1.44,,
261200,하나금융9호스팩 ,2105,0,0,,,,,0,0,,
263020,디케이앤디 ,6230,70,1.14,570,10.93,6268,0.99,0,0,,
263050,유틸렉스 ,63100,0,0,,,10669,5.91,0,0,,
263540,샘코 ,8580,90,1.06,,,4982,1.72,0,0,,
263600,덕우전자 ,6250,-50,-0.79,,,4999,1.25,200,3.2,,
263690,디알젬 ,8410,-240,-2.77,466,18.05,2532,3.32,50,0.59,,
263700,케어랩스 ,13200,-100,-0.75,622,21.22,9685,1.36,0,0,,
263720,디앤씨미디어 ,14550,150,1.04,410,35.49,3033,4.8,0,0,,
263750,펄어비스 ,204000,4100,2.05,12498,16.32,31525,6.47,0,0,,
263770,유에스티 ,4090,-70,-1.68,51,80.2,1850,2.21,0,0,,
263800,데이타솔루션 ,4050,155,3.98,,,1642,2.47,0,0,,
263810,상신전자 ,3445,0,0,142,24.26,2276,1.51,85,2.47,,
263860,지니언스 ,4635,40,0.87,287,16.15,3390,1.37,0,0,,
263920,블러썸엠앤씨 ,8210,-460,-5.31,,,2786,2.95,0,0,,
264290,한화에이스스팩3호 ,2050,-5,-0.24,,,,,0,0,,
264450,유비쿼스 ,28550,-350,-1.21,2906,9.82,15630,1.83,600,2.1,,
264660,씨앤지하이테크 ,7620,-60,-0.78,1204,6.33,6723,1.13,200,2.62,,
264850,IBKS제6호스팩 ,2055,-15,-0.72,,,,,0,0,,
264900,크라운제과 ,8460,10,0.12,1029,8.22,9640,0.88,250,2.96,,
265480,미래에셋대우스팩1호 ,2060,0,0,,,,,0,0,,
265520,AP시스템 ,28350,-400,-1.39,1812,15.65,6964,4.07,150,0.53,,
265560,영화테크 ,11750,350,3.07,737,15.94,8890,1.32,100,0.85,,
265920,한화수성스팩 ,2050,0,0,,,,,0,0,,
267250,현대중공업지주 ,345500,-3000,-0.86,18371,18.81,474469,0.73,18500,5.35,,
267260,현대일렉트릭 ,9510,-190,-1.96,,,36077,0.26,0,0,,
267270,현대건설기계 ,30900,350,1.15,4585,6.74,62737,0.49,850,2.75,,
267290,경동도시가스 ,27250,250,0.93,7235,3.77,67853,0.4,875,3.21,,
267320,교보7호스팩 ,2420,0,0,,,,,0,0,,
267790,배럴 ,12100,-50,-0.41,598,20.23,4955,2.44,0,0,,
267850,아시아나IDT ,29400,6750,29.8,1542,19.07,13924,2.11,500,1.7,,
267980,매일유업 ,88600,800,0.91,7545,11.74,44235,2,700,0.79,,
268280,미원에스씨 ,72400,1800,2.55,6932,10.44,42201,1.72,1200,1.66,,
268600,셀리버리 ,65700,-5800,-8.11,,,4706,13.96,0,0,,
269620,시스웍 ,2490,0,0,268,9.29,2004,1.24,30,1.2,,
270520,하나금융10호스팩 ,2230,0,0,,,,,0,0,,
270870,뉴트리 ,15000,-150,-0.99,313,47.92,5420,2.77,100,0.67,,
271560,오리온 ,108000,1000,0.93,3538,30.53,35553,3.04,600,0.56,,
271740,한국제5호스팩 ,2065,-10,-0.48,,,,,0,0,,
271980,제일약품 ,35600,-400,-1.11,142,250.7,12576,2.83,60,0.17,,
272110,케이엔제이 ,12450,450,3.75,357,34.87,1573,7.91,0,0,,
272290,이녹스첨단소재 ,54000,-100,-0.18,3355,16.1,15909,3.39,0,0,,
272450,진에어 ,15650,-150,-0.95,1482,10.56,8873,1.76,300,1.92,,
272550,삼양패키징 ,16600,50,0.3,1507,11.02,18679,0.89,500,3.01,,
273060,엔에이치스팩12호 ,2065,0,0,,,,,0,0,,
275630,에스에스알 ,6580,-50,-0.75,242,27.19,4096,1.61,0,0,,
276920,IBKS제7호스팩 ,2105,5,0.24,,,,,0,0,,
277070,린드먼아시아 ,4100,-65,-1.56,281,14.59,3070,1.34,73,1.78,,
277410,인산가 ,1965,130,7.08,,,984,2,20,1.02,,
277480,신한제4호스팩 ,2045,-5,-0.24,,,,,0,0,,
278280,천보 ,63600,200,0.32,2958,21.5,13450,4.73,0,0,,
279410,한화에이스스팩4호 ,2065,0,0,,,,,0,0,,
279600,미디어젠 ,8280,80,0.98,,,2374,3.49,0,0,,
280360,롯데제과 ,146000,500,0.34,2192,66.61,183085,0.8,1300,0.89,,
281410,한국제6호스팩 ,2070,20,0.98,,,,,0,0,,
281740,동부스팩5호 ,2310,0,0,,,,,0,0,,
281820,케이씨텍 ,18250,50,0.27,2741,6.66,12953,1.41,270,1.48,,
282330,BGF리테일 ,182000,0,0,8925,20.39,30182,6.03,2680,1.47,,
282690,동아타이어 ,12250,-200,-1.61,1178,10.4,24769,0.49,300,2.45,,
282880,코윈테크 ,25250,-150,-0.59,1477,17.1,3018,8.37,50,0.2,,
284620,하나금융11호스팩 ,2090,0,0,,,,,0,0,,
284740,쿠쿠홈시스 ,40000,0,0,1534,26.08,16568,2.41,560,1.4,,
285130,SK케미칼 ,53400,900,1.71,457,116.85,53061,1.01,400,0.75,,
285490,노바텍 ,16050,200,1.26,1748,9.18,6730,2.38,0,0,,
286750,나노브릭 ,10850,100,0.93,256,42.38,454,23.9,0,0,,
286940,롯데정보통신 ,43700,-800,-1.8,2205,19.82,24419,1.79,650,1.49,,
